sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access,pdf_file,pdf_downloaded
1110,Ag,0,Staphylococcus aureus,0,NCIM 5021,Chemical synthesis using sodium borohydride and trisodium citrate,MBC,200,,,88.8,111.2,100.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1,data/pdfs/pdf_seltox/142_c3ra44507k.pdf,True
1111,Ag,0,Escherichia coli,0,O157:H7,Eco-benign synthesis using Quercus coccifera L.,MIC,125,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1112,Ag,0,Staphylococcus aureus,0,ATCC 25923,Eco-benign synthesis using Quercus coccifera L.,MIC,125,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1113,Ag,0,Enterococcus faecium,0,DSM 13590,Eco-benign synthesis using Quercus coccifera L.,MIC,62.5,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1114,Ag,0,Staphylococcus epidermidis,0,ATCC 12228,Eco-benign synthesis using Quercus coccifera L.,MIC,125,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1115,Ag,0,Salmonella enteritidis,0,ATCC 13076,Eco-benign synthesis using Quercus coccifera L.,MIC,250,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1116,Ag,0,Salmonella typhimurium,0,ATCC 14028,Eco-benign synthesis using Quercus coccifera L.,MIC,250,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1117,Ag,0,Listeria monocytogenes,0,ATCC 19111,Eco-benign synthesis using Quercus coccifera L.,MIC,500,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1118,Ag,0,Candida albicans,0,ATCC 10239,Eco-benign synthesis using Quercus coccifera L.,MIC,500,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1119,Ag,0,Escherichia coli,0,O157:H7,Eco-benign synthesis using Quercus coccifera L.,MBC,125,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1120,Ag,0,Staphylococcus aureus,0,ATCC 25923,Eco-benign synthesis using Quercus coccifera L.,MBC,250,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1121,Ag,0,Enterococcus faecium,0,DSM 13591,Eco-benign synthesis using Quercus coccifera L.,MBC,125,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1122,Ag,0,Staphylococcus epidermidis,0,ATCC 12228,Eco-benign synthesis using Quercus coccifera L.,MBC,125,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1123,Ag,0,Salmonella enteritidis,0,ATCC 13076,Eco-benign synthesis using Quercus coccifera L.,MBC,500,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1124,Ag,0,Salmonella typhimurium,0,ATCC 14028,Eco-benign synthesis using Quercus coccifera L.,MBC,250,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1125,Ag,0,Listeria monocytogenes,0,ATCC 19111,Eco-benign synthesis using Quercus coccifera L.,MBC,500,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1126,Ag,0,Candida albicans,0,ATCC 10239,Eco-benign synthesis using Quercus coccifera L.,MFC,500,,,50.0,70.0,60.0,spherical,24.0,-26.4,water (distilled),90.0,30.0,AgNO3,1.0,64.7,,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub,10.1016/j.eti.2021.102067,143,Environmental Technology &amp; Innovation,Elsevier BV,2021,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,False,True,hybrid,143_1-s2.0-S235218642100715X-main.pdf,1,data/pdfs/pdf_seltox/143_1-s2.0-S235218642100715X-main.pdf,False
1127,Ag,0,Bacillus cereus,0,ATCC 33019,Green synthesis using Serai kayu,MIC,15,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1128,Ag,0,Bacillus megaterium,0,ATCC 14581,Green synthesis using Serai kayu,MIC,62,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1129,Ag,0,Bacillus pumilus,0,ATCC 14884,Green synthesis using Serai kayu,MIC,31,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1130,Ag,0,Bacillus subtilis,0,ATCC 6633,Green synthesis using Serai kayu,MIC,62,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1131,Ag,0,Escherichia coli,0,ATCC 43895,Green synthesis using Serai kayu,MIC,125,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1132,Ag,0,Klebsiella pneumoniae,0,ATCC 13773,Green synthesis using Serai kayu,MIC,15,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1133,Ag,0,Listeria monocytogenes,0,ATCC 19112,Green synthesis using Serai kayu,MIC,31,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1134,Ag,0,Pseudomonas aeruginosa,0,ATCC 9027,Green synthesis using Serai kayu,MIC,15,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1135,Ag,0,Proteus mirabilis,0,ATCC 21100,Green synthesis using Serai kayu,MIC,31,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1136,Ag,0,Staphylococcus aureus,0,ATCC 29737,Green synthesis using Serai kayu,MIC,8,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1137,Ag,0,Salmonella typhimurium,0,ATCC 14028,Green synthesis using Serai kayu,MIC,8,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1138,Ag,0,Bacillus cereus,0,ATCC 33019,Green synthesis using Serai kayu,MBC,15,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1139,Ag,0,Bacillus megaterium,0,ATCC 14581,Green synthesis using Serai kayu,MBC,125,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1140,Ag,0,Bacillus pumilus,0,ATCC 14884,Green synthesis using Serai kayu,MBC,62,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1141,Ag,0,Bacillus subtilis,0,ATCC 6633,Green synthesis using Serai kayu,MBC,125,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1142,Ag,0,Escherichia coli,0,ATCC 43895,Green synthesis using Serai kayu,MBC,250,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1143,Ag,0,Klebsiella pneumoniae,0,ATCC 13773,Green synthesis using Serai kayu,MBC,31,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1144,Ag,0,Listeria monocytogenes,0,ATCC 19112,Green synthesis using Serai kayu,MBC,62,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1145,Ag,0,Pseudomonas aeruginosa,0,ATCC 9027,Green synthesis using Serai kayu,MBC,15,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1146,Ag,0,Proteus mirabilis,0,ATCC 21100,Green synthesis using Serai kayu,MBC,31,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1147,Ag,0,Staphylococcus aureus,0,ATCC 29737,Green synthesis using Serai kayu,MBC,8,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1148,Ag,0,Salmonella typhimurium,0,ATCC 14028,Green synthesis using Serai kayu,MBC,15,,,,,27.69,spherical,4.0,,ethanol,50.0,30.0,AgNO3,1.0,,,https://doi.org/10.1016/j.heliyon.2023.e22771,10.1016/j.heliyon.2023.e22771,144,Heliyon,Elsevier BV,2023,Antibacterial potential of silver nanoparticles (SP-AgNPs) synthesized from Syzygium polyanthum (Wight) Walp. against selected foodborne pathogens,True,True,gold,144_1-s2.0-S2405844023099796-main.pdf,1,data/pdfs/pdf_seltox/144_1-s2.0-S2405844023099796-main.pdf,False
1149,Ag,0,Escherichia coli,0,ATCC 25922,Green synthesis using Areca catechu L. nut,MIC,4,,,10.0,20.0,8.29,spherical,30.0,-30.5,water (deionized),50.0,30.0,AgNO3,1.0,,12.0,https://doi.org/10.1016/j.arabjc.2022.103763,10.1016/j.arabjc.2022.103763,145,Arabian Journal of Chemistry,Elsevier BV,2022,Eco-friendly synthesis of size-controlled silver nanoparticles by using Areca catechu nut aqueous extract and investigation of their potent antioxidant and anti-bacterial activities,True,True,gold,145_1-s2.0-S187853522200079X-main.pdf,1,data/pdfs/pdf_seltox/145_1-s2.0-S187853522200079X-main.pdf,False
1150,Ag,0,Salmonella typhimurium,0,ATCC 14028,Green synthesis using Areca catechu L. nut,MIC,8,,,10.0,20.0,8.29,spherical,30.0,-30.5,water (deionized),50.0,30.0,AgNO3,1.0,,12.0,https://doi.org/10.1016/j.arabjc.2022.103763,10.1016/j.arabjc.2022.103763,145,Arabian Journal of Chemistry,Elsevier BV,2022,Eco-friendly synthesis of size-controlled silver nanoparticles by using Areca catechu nut aqueous extract and investigation of their potent antioxidant and anti-bacterial activities,True,True,gold,145_1-s2.0-S187853522200079X-main.pdf,1,data/pdfs/pdf_seltox/145_1-s2.0-S187853522200079X-main.pdf,False
1151,Ag,0,Pseudomonas aeruginosa,0,ATCC 27853,Green synthesis using Areca catechu L. nut,MIC,8,,,10.0,20.0,8.29,spherical,30.0,-30.5,water (deionized),50.0,30.0,AgNO3,1.0,,12.0,https://doi.org/10.1016/j.arabjc.2022.103763,10.1016/j.arabjc.2022.103763,145,Arabian Journal of Chemistry,Elsevier BV,2022,Eco-friendly synthesis of size-controlled silver nanoparticles by using Areca catechu nut aqueous extract and investigation of their potent antioxidant and anti-bacterial activities,True,True,gold,145_1-s2.0-S187853522200079X-main.pdf,1,data/pdfs/pdf_seltox/145_1-s2.0-S187853522200079X-main.pdf,False
1152,Ag,0,Listeria monocytogenes,0,ATCC 51772,Green synthesis using Areca catechu L. nut,MIC,16,,,10.0,20.0,8.29,spherical,30.0,-30.5,water (deionized),50.0,30.0,AgNO3,1.0,,12.0,https://doi.org/10.1016/j.arabjc.2022.103763,10.1016/j.arabjc.2022.103763,145,Arabian Journal of Chemistry,Elsevier BV,2022,Eco-friendly synthesis of size-controlled silver nanoparticles by using Areca catechu nut aqueous extract and investigation of their potent antioxidant and anti-bacterial activities,True,True,gold,145_1-s2.0-S187853522200079X-main.pdf,1,data/pdfs/pdf_seltox/145_1-s2.0-S187853522200079X-main.pdf,False
1153,Ag,0,Staphylococcus aureus,0,ATCC 25923,Green synthesis using Areca catechu L. nut,MIC,4,,,10.0,20.0,8.29,spherical,30.0,-30.5,water (deionized),50.0,30.0,AgNO3,1.0,,12.0,https://doi.org/10.1016/j.arabjc.2022.103763,10.1016/j.arabjc.2022.103763,145,Arabian Journal of Chemistry,Elsevier BV,2022,Eco-friendly synthesis of size-controlled silver nanoparticles by using Areca catechu nut aqueous extract and investigation of their potent antioxidant and anti-bacterial activities,True,True,gold,145_1-s2.0-S187853522200079X-main.pdf,1,data/pdfs/pdf_seltox/145_1-s2.0-S187853522200079X-main.pdf,False
1154,Ag,0,Bacillus subtilis,0,ATCC 14579,Green synthesis using Areca catechu L. nut,MIC,16,,,10.0,20.0,8.29,spherical,30.0,-30.5,water (deionized),50.0,30.0,AgNO3,1.0,,12.0,https://doi.org/10.1016/j.arabjc.2022.103763,10.1016/j.arabjc.2022.103763,145,Arabian Journal of Chemistry,Elsevier BV,2022,Eco-friendly synthesis of size-controlled silver nanoparticles by using Areca catechu nut aqueous extract and investigation of their potent antioxidant and anti-bacterial activities,True,True,gold,145_1-s2.0-S187853522200079X-main.pdf,1,data/pdfs/pdf_seltox/145_1-s2.0-S187853522200079X-main.pdf,False
