sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access,pdf_file,pdf_downloaded
1793,SiO2,Sphere,,Sol-Gel Method,Negative,,,40000.0,H,Human,RespiratoryTract,Epithelial,Adult,24,128.0,CCK-8,TetrazoliumSalt,72.989,10.1016/j.ecoenv.2019.109770,52,,19.4,-21.77,16HBE,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1794,SiO2,Sphere,,Sol-Gel Method,Negative,,,40000.0,H,Human,RespiratoryTract,Epithelial,Adult,24,256.0,CCK-8,TetrazoliumSalt,20.822,10.1016/j.ecoenv.2019.109770,52,,19.4,-21.77,16HBE,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1795,SiO2,Sphere,DPPC,Sol-Gel Method,Negative,,,40000.0,H,Human,Lung,Epithelial,Adult,24,8.0,CCK-8,TetrazoliumSalt,98.928,10.1016/j.ecoenv.2019.109770,52,,19.4,-13.5,A549,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1796,SiO2,Sphere,DPPC,Sol-Gel Method,Negative,,,40000.0,H,Human,Lung,Epithelial,Adult,24,16.0,CCK-8,TetrazoliumSalt,98.622,10.1016/j.ecoenv.2019.109770,52,,19.4,-13.5,A549,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1797,SiO2,Sphere,DPPC,Sol-Gel Method,Negative,,,40000.0,H,Human,Lung,Epithelial,Adult,24,32.0,CCK-8,TetrazoliumSalt,97.243,10.1016/j.ecoenv.2019.109770,52,,19.4,-13.5,A549,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1798,SiO2,Sphere,DPPC,Sol-Gel Method,Negative,,,40000.0,H,Human,Lung,Epithelial,Adult,24,64.0,CCK-8,TetrazoliumSalt,98.315,10.1016/j.ecoenv.2019.109770,52,,19.4,-13.5,A549,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1799,SiO2,Sphere,DPPC,Sol-Gel Method,Negative,,,40000.0,H,Human,Lung,Epithelial,Adult,24,128.0,CCK-8,TetrazoliumSalt,98.622,10.1016/j.ecoenv.2019.109770,52,,19.4,-13.5,A549,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1800,SiO2,Sphere,DPPC,Sol-Gel Method,Negative,,,40000.0,H,Human,RespiratoryTract,Epithelial,Adult,24,8.0,CCK-8,TetrazoliumSalt,93.539,10.1016/j.ecoenv.2019.109770,52,,19.4,-13.5,16HBE,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1801,SiO2,Sphere,DPPC,Sol-Gel Method,Negative,,,40000.0,H,Human,RespiratoryTract,Epithelial,Adult,24,16.0,CCK-8,TetrazoliumSalt,94.86,10.1016/j.ecoenv.2019.109770,52,,19.4,-13.5,16HBE,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1802,SiO2,Sphere,DPPC,Sol-Gel Method,Negative,,,40000.0,H,Human,RespiratoryTract,Epithelial,Adult,24,32.0,CCK-8,TetrazoliumSalt,95.448,10.1016/j.ecoenv.2019.109770,52,,19.4,-13.5,16HBE,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1803,SiO2,Sphere,DPPC,Sol-Gel Method,Negative,,,40000.0,H,Human,RespiratoryTract,Epithelial,Adult,24,64.0,CCK-8,TetrazoliumSalt,98.385,10.1016/j.ecoenv.2019.109770,52,,19.4,-13.5,16HBE,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1804,SiO2,Sphere,DPPC,Sol-Gel Method,Negative,,,40000.0,H,Human,RespiratoryTract,Epithelial,Adult,24,128.0,CCK-8,TetrazoliumSalt,92.364,10.1016/j.ecoenv.2019.109770,52,,19.4,-13.5,16HBE,Ecotoxicology and Environmental Safety,Elsevier BV,2019,Evaluation of in vitro toxicity of silica nanoparticles (NPs) to lung cells: Influence of cell types and pulmonary surfactant component DPPC,False,FALSE,closed,52_10.1016@j.ecoenv.2019.109770.pdf,0,data/pdfs/pdf_cytotox/52_10.1016@j.ecoenv.2019.109770.pdf,False
1805,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,0.028,WST-1,TetrazoliumSalt,83.921,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1806,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,0.061,WST-1,TetrazoliumSalt,83.357,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1807,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,0.131,WST-1,TetrazoliumSalt,88.011,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1808,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,0.281,WST-1,TetrazoliumSalt,91.537,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1809,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,0.604,WST-1,TetrazoliumSalt,92.102,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1810,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,1.298,WST-1,TetrazoliumSalt,93.371,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1811,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,2.791,WST-1,TetrazoliumSalt,95.769,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1812,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,6.0,WST-1,TetrazoliumSalt,71.227,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1813,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,0.028,NRU,NeutralRed,99.577,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1814,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,0.061,NRU,NeutralRed,96.897,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1815,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,0.131,NRU,NeutralRed,95.769,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1816,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,0.281,NRU,NeutralRed,97.884,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1817,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,0.604,NRU,NeutralRed,95.346,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1818,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,1.298,NRU,NeutralRed,97.461,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1819,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,2.791,NRU,NeutralRed,95.769,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1820,Au,Sphere,Citrate,Commercial,Negative,48.0,-7.7,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,6.0,NRU,NeutralRed,100.71,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1821,Au,Sphere,Citrate,Commercial,Negative,52.0,-9.3,12000.0,A,Rat,Lung,Macrophage,Adult,24,0.028,WST-1,TetrazoliumSalt,86.46,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,NR8383,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1822,Au,Sphere,Citrate,Commercial,Negative,52.0,-9.3,12000.0,A,Rat,Lung,Macrophage,Adult,24,0.061,WST-1,TetrazoliumSalt,80.395,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,NR8383,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1823,Au,Sphere,Citrate,Commercial,Negative,52.0,-9.3,12000.0,A,Rat,Lung,Macrophage,Adult,24,0.131,WST-1,TetrazoliumSalt,82.37,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,NR8383,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1824,Au,Sphere,Citrate,Commercial,Negative,52.0,-9.3,12000.0,A,Rat,Lung,Macrophage,Adult,24,0.281,WST-1,TetrazoliumSalt,87.729,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,NR8383,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1825,Au,Sphere,Citrate,Commercial,Negative,52.0,-9.3,12000.0,A,Rat,Lung,Macrophage,Adult,24,0.604,WST-1,TetrazoliumSalt,82.793,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,NR8383,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1826,Au,Sphere,Citrate,Commercial,Negative,52.0,-9.3,12000.0,A,Rat,Lung,Macrophage,Adult,24,1.298,WST-1,TetrazoliumSalt,82.087,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,NR8383,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1827,Au,Sphere,Citrate,Commercial,Negative,52.0,-9.3,12000.0,A,Rat,Lung,Macrophage,Adult,24,2.791,WST-1,TetrazoliumSalt,77.715,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,NR8383,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1828,Au,Sphere,Citrate,Commercial,Negative,52.0,-9.3,12000.0,A,Rat,Lung,Macrophage,Adult,24,6.0,WST-1,TetrazoliumSalt,74.189,10.1016/j.tiv.2016.09.012,53,,13.0,-60.7,NR8383,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1829,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,0.67,WST-1,TetrazoliumSalt,102.69,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1830,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,1.0,WST-1,TetrazoliumSalt,94.215,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1831,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,1.5,WST-1,TetrazoliumSalt,98.967,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1832,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,2.1,WST-1,TetrazoliumSalt,152.69,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1833,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,3.1,WST-1,TetrazoliumSalt,29.752,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1834,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,4.6,WST-1,TetrazoliumSalt,2.0661,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1835,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,6.8,WST-1,TetrazoliumSalt,2.2727,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1836,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,24,10.0,WST-1,TetrazoliumSalt,3.0992,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1837,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,0.67,NRU,NeutralRed,93.388,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1838,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,1.0,NRU,NeutralRed,92.562,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
1839,Ag,Irregular,PVP,Commercial,Negative,121.0,-9.0,2000.0,A,Mouse,Embryo,Fibroblast,Embryonic,48,1.5,NRU,NeutralRed,90.702,10.1016/j.tiv.2016.09.012,53,,20.0,-17.1,BALB/c3T3,Toxicology in Vitro,Elsevier BV,2016,"The applicability of conventional cytotoxicity assays to predict safety/toxicity of mesoporous silica nanoparticles, silver and gold nanoparticles and multi-walled carbon nanotubes",False,FALSE,closed,53_10.1016@j.tiv.2016.09.012.pdf,0,data/pdfs/pdf_cytotox/53_10.1016@j.tiv.2016.09.012.pdf,False
